epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5107.95,1.33617,1.35262,1.62216,0.84458,0.7397,0.83627,0.54568,0.97637,1.7553,1.16088,0.007921,0.007921,0.007921
44,5234.29,1.32132,1.35162,1.61744,0.86079,0.75175,0.83808,0.55387,0.95607,1.95934,1.15586,0.0078715,0.0078715,0.0078715
45,5360.65,1.32373,1.34244,1.61772,0.84309,0.75252,0.83929,0.55463,0.95622,1.73967,1.15594,0.007822,0.007822,0.007822
46,5478.03,1.31162,1.32759,1.60029,0.85452,0.76353,0.84575,0.56116,0.96178,1.54547,1.1493,0.0077725,0.0077725,0.0077725
47,5585.82,1.30621,1.33027,1.59575,0.85868,0.76654,0.84821,0.56627,0.95365,1.61023,1.14999,0.007723,0.007723,0.007723
48,5702.04,1.30414,1.32722,1.59704,0.8342,0.78025,0.84815,0.56903,0.94171,1.75908,1.14123,0.0076735,0.0076735,0.0076735
49,5810.48,1.29459,1.30972,1.58335,0.84876,0.78462,0.85823,0.57324,0.95009,1.46933,1.15074,0.007624,0.007624,0.007624
50,5936.18,1.29735,1.30114,1.58643,0.86285,0.77687,0.85885,0.58301,0.93705,1.35631,1.14945,0.0075745,0.0075745,0.0075745
51,6057.75,1.28928,1.28852,1.57462,0.86397,0.77488,0.85882,0.57977,0.93299,1.52529,1.14261,0.007525,0.007525,0.007525
52,6187.21,1.27995,1.2735,1.5689,0.88471,0.77154,0.86246,0.58289,0.92601,1.694,1.13036,0.0074755,0.0074755,0.0074755
53,6312.86,1.2737,1.26054,1.55705,0.8804,0.78034,0.8638,0.57762,0.94814,1.5963,1.13664,0.007426,0.007426,0.007426
54,6453.68,1.26729,1.24773,1.56014,0.87087,0.79655,0.87036,0.58121,0.94736,1.55819,1.13542,0.0073765,0.0073765,0.0073765
55,6579.19,1.26863,1.25434,1.561,0.86403,0.80039,0.87068,0.58949,0.93135,1.47305,1.12828,0.007327,0.007327,0.007327
56,6702.55,1.25985,1.24443,1.55342,0.87539,0.79888,0.87289,0.59177,0.91393,1.46737,1.10761,0.0072775,0.0072775,0.0072775
57,6826.75,1.26355,1.24072,1.5567,0.89123,0.78967,0.87561,0.59522,0.91599,1.42317,1.10816,0.007228,0.007228,0.007228
58,6951.34,1.25694,1.2204,1.54337,0.89176,0.79481,0.87969,0.60037,0.91445,1.36368,1.11216,0.0071785,0.0071785,0.0071785
59,7079.18,1.24593,1.19502,1.54198,0.88442,0.80026,0.87938,0.6023,0.91168,1.38033,1.11049,0.007129,0.007129,0.007129
60,7200.09,1.24756,1.21032,1.54037,0.88402,0.79849,0.87997,0.60708,0.90642,1.33975,1.10644,0.0070795,0.0070795,0.0070795
61,7325.26,1.23211,1.19159,1.52525,0.88275,0.79977,0.87804,0.60826,0.9027,1.33034,1.10249,0.00703,0.00703,0.00703
62,7449.95,1.22603,1.18485,1.52554,0.89039,0.7997,0.88314,0.6115,0.89989,1.32811,1.09388,0.0069805,0.0069805,0.0069805
63,7575.84,1.22111,1.18244,1.51833,0.89344,0.80345,0.8848,0.61369,0.8881,1.34204,1.08922,0.006931,0.006931,0.006931
64,7710.21,1.21906,1.17447,1.51814,0.89472,0.80358,0.88731,0.61785,0.88455,1.22112,1.08841,0.0068815,0.0068815,0.0068815
65,7839.27,1.22438,1.17344,1.51997,0.88858,0.81398,0.88716,0.6222,0.87769,1.204,1.08513,0.006832,0.006832,0.006832
66,7968.94,1.2216,1.16368,1.51631,0.89233,0.81224,0.8867,0.62547,0.87208,1.21212,1.08092,0.0067825,0.0067825,0.0067825
67,8100.55,1.22511,1.16666,1.51549,0.88761,0.82174,0.88975,0.62745,0.87202,1.20445,1.08012,0.006733,0.006733,0.006733
68,8225.38,1.20724,1.13862,1.50287,0.88722,0.81845,0.88984,0.62656,0.87081,1.19304,1.07905,0.0066835,0.0066835,0.0066835
69,8331.38,1.19688,1.1382,1.4884,0.8842,0.82047,0.89152,0.62979,0.86621,1.15873,1.07482,0.006634,0.006634,0.006634
70,8449.29,1.20602,1.13943,1.50495,0.8889,0.81489,0.89189,0.62958,0.86737,1.16328,1.07572,0.0065845,0.0065845,0.0065845
71,8573.85,1.1957,1.12601,1.49019,0.89669,0.80715,0.89449,0.62936,0.86792,1.20322,1.07529,0.006535,0.006535,0.006535
72,8699.49,1.19646,1.1231,1.49983,0.89732,0.8096,0.89572,0.63156,0.86464,1.21582,1.07195,0.0064855,0.0064855,0.0064855
73,8823.52,1.19123,1.10787,1.48216,0.89952,0.81588,0.89555,0.63316,0.86338,1.17516,1.06988,0.006436,0.006436,0.006436
74,8948.94,1.19933,1.13058,1.49065,0.9015,0.81235,0.89679,0.63222,0.86532,1.15695,1.07013,0.0063865,0.0063865,0.0063865
75,9057.44,1.18569,1.10592,1.47892,0.88925,0.81874,0.8971,0.63208,0.8663,1.165,1.07304,0.006337,0.006337,0.006337
76,9157.37,1.17437,1.09265,1.47676,0.88034,0.82991,0.89788,0.63184,0.86603,1.16914,1.07588,0.0062875,0.0062875,0.0062875
77,9257.9,1.1861,1.0985,1.47791,0.88272,0.83202,0.89906,0.63455,0.86319,1.1763,1.07564,0.006238,0.006238,0.006238
78,9358.53,1.16893,1.07088,1.46585,0.88673,0.83106,0.89919,0.63611,0.86245,1.16767,1.07457,0.0061885,0.0061885,0.0061885
79,9459.22,1.17445,1.07894,1.46209,0.89122,0.83208,0.89899,0.63698,0.86201,1.16486,1.07416,0.006139,0.006139,0.006139
80,9559.34,1.15856,1.07622,1.46114,0.89268,0.83253,0.90038,0.63946,0.86031,1.16631,1.07295,0.0060895,0.0060895,0.0060895
81,9659.25,1.15827,1.04918,1.45416,0.89715,0.83334,0.90198,0.64169,0.85772,1.16569,1.07071,0.00604,0.00604,0.00604
82,9759.32,1.15738,1.06211,1.45687,0.8995,0.83063,0.904,0.64226,0.85933,1.16976,1.07081,0.0059905,0.0059905,0.0059905
83,9860.38,1.15485,1.04549,1.44553,0.89791,0.83233,0.90342,0.64329,0.856,1.17152,1.06452,0.005941,0.005941,0.005941
84,9960.77,1.1548,1.05984,1.45746,0.90176,0.83091,0.90424,0.64395,0.84926,1.17613,1.05626,0.0058915,0.0058915,0.0058915
85,10061.9,1.15229,1.04581,1.44837,0.89793,0.83546,0.90489,0.64401,0.84529,1.17679,1.05235,0.005842,0.005842,0.005842
86,10162.9,1.14429,1.04392,1.44388,0.89612,0.83962,0.90592,0.64516,0.84058,1.17449,1.04807,0.0057925,0.0057925,0.0057925
87,10262.8,1.14839,1.03923,1.44548,0.89691,0.8404,0.90662,0.64637,0.83791,1.16511,1.0461,0.005743,0.005743,0.005743
88,10364.7,1.14185,1.03212,1.43748,0.89931,0.84126,0.90721,0.64692,0.83531,1.16546,1.04456,0.0056935,0.0056935,0.0056935
89,10465.9,1.13645,1.02222,1.43721,0.90309,0.83812,0.90714,0.64683,0.83403,1.16609,1.04347,0.005644,0.005644,0.005644
90,10566.1,1.12671,1.01673,1.42517,0.90563,0.83799,0.90749,0.64771,0.83314,1.17242,1.04264,0.0055945,0.0055945,0.0055945
91,10666.5,1.12739,1.01097,1.42348,0.90364,0.83623,0.9072,0.64823,0.8323,1.17355,1.04176,0.005545,0.005545,0.005545
92,10766.9,1.12184,1.01142,1.42146,0.90511,0.83698,0.90776,0.64798,0.83097,1.16599,1.04057,0.0054955,0.0054955,0.0054955
93,10867.2,1.11455,0.99766,1.41454,0.90328,0.83909,0.90765,0.64874,0.82972,1.15337,1.03952,0.005446,0.005446,0.005446
94,10967.1,1.12597,1.00837,1.42771,0.90316,0.83963,0.90786,0.6493,0.8281,1.14846,1.03831,0.0053965,0.0053965,0.0053965
95,11068,1.11903,1.00625,1.42231,0.90538,0.84236,0.90881,0.65065,0.82729,1.1476,1.03774,0.005347,0.005347,0.005347
96,11168.2,1.11443,0.98702,1.41352,0.90024,0.84473,0.90898,0.65114,0.82547,1.14188,1.03688,0.0052975,0.0052975,0.0052975
97,11268.3,1.10975,0.98728,1.41109,0.90106,0.84486,0.90852,0.65106,0.82436,1.13432,1.03601,0.005248,0.005248,0.005248
98,11368.2,1.09574,0.9571,1.40292,0.90338,0.84483,0.90845,0.65139,0.82312,1.13296,1.03524,0.0051985,0.0051985,0.0051985
99,11468.7,1.10762,0.97964,1.40945,0.90456,0.84432,0.90851,0.65353,0.82158,1.13515,1.0343,0.005149,0.005149,0.005149
100,11569.2,1.0958,0.96519,1.40174,0.90726,0.84216,0.90844,0.65395,0.82139,1.13442,1.03388,0.0050995,0.0050995,0.0050995
101,11669.4,1.09829,0.96342,1.3995,0.91207,0.83946,0.90916,0.65465,0.82104,1.13346,1.03328,0.00505,0.00505,0.00505
102,11770.4,1.09838,0.95887,1.39977,0.91123,0.84014,0.90892,0.65507,0.82058,1.13077,1.03316,0.0050005,0.0050005,0.0050005
103,11870.9,1.09584,0.95951,1.39938,0.91427,0.83932,0.90923,0.65548,0.82027,1.12826,1.03287,0.004951,0.004951,0.004951
104,11971.8,1.09313,0.95342,1.39459,0.91125,0.84024,0.90922,0.65613,0.81963,1.13115,1.03225,0.0049015,0.0049015,0.0049015
