epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.816,1.90141,4.36794,2.10247,0,0,0,0,0,0,0,0.0701596,0.0033156,0.0033156
2,202.677,1.95952,3.71685,2.13604,0,0,0,0,0,0,0,0.0400937,0.00658311,0.00658311
3,295.888,2.1233,3.62391,2.32858,0,0,0,0,0,0,0,0.00996193,0.00978462,0.00978462
4,386.222,2.30913,3.71741,2.52699,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,476.228,2.23027,3.58321,2.47883,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,566.896,2.19076,3.44739,2.4132,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,657.478,2.16095,3.34532,2.40485,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,759.266,2.11447,3.22871,2.38745,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,849.922,2.0683,3.14643,2.33886,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,943.077,2.04832,3.12718,2.31414,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1033.06,2.01524,3.06681,2.29921,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1124.57,1.98458,2.98266,2.24301,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1215.79,1.96016,2.86769,2.19088,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1306.85,1.96205,2.84175,2.2037,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1397.83,1.94011,2.80203,2.19648,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1488.91,1.95965,2.82113,2.19656,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1580.34,1.91151,2.77062,2.16545,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1670.74,1.88631,2.70116,2.11972,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,1762.72,1.89538,2.66479,2.12411,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,1854.65,1.86155,2.63731,2.11646,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,1946.3,1.84793,2.62483,2.10482,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2037.62,1.85286,2.58114,2.10201,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2128.56,1.8349,2.50187,2.08538,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2219.32,1.81855,2.49453,2.06316,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2310.85,1.83499,2.47751,2.09613,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2402.47,1.80824,2.46437,2.06999,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2493.99,1.82246,2.44064,2.06105,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,2584.22,1.78098,2.3809,2.01334,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,2675.29,1.75798,2.34745,2.00261,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,2766.51,1.76987,2.34603,2.01443,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,2858.03,1.74226,2.34291,1.99694,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,2949.4,1.75258,2.28519,1.98231,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,3040.96,1.74958,2.26425,1.98646,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,3132.86,1.75789,2.277,1.98963,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,3223.52,1.70883,2.23642,1.97147,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,3315.47,1.70053,2.15958,1.93819,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,3405.36,1.70095,2.18881,1.93372,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,3495.85,1.67574,2.17083,1.91081,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,3587.96,1.71062,2.18435,1.94153,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,3683.06,1.69544,2.19463,1.92862,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,3772.86,1.6902,2.14219,1.93591,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,3864.13,1.66379,2.13672,1.89638,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,3956.8,1.64857,2.0823,1.89528,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,4048.73,1.64307,2.08032,1.87562,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,4140.17,1.6431,2.07503,1.89439,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,4232.25,1.63483,2.06003,1.88006,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,4322.84,1.64235,2.02042,1.87117,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,4414.11,1.62976,2.02939,1.86529,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,4505.08,1.63582,2.00751,1.87313,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,4597.47,1.60256,1.99769,1.84612,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,4690.04,1.59557,2.01234,1.85317,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,4780.44,1.60108,1.92793,1.84698,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,4873.4,1.59813,1.9523,1.83885,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,4967.48,1.59511,1.93519,1.85033,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,5057.59,1.57271,1.89523,1.83429,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,5146.95,1.58005,1.8729,1.83287,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,5238.87,1.58566,1.92673,1.82428,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,5329.59,1.58617,1.89847,1.84187,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,5421.8,1.56085,1.87135,1.81206,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,5515.88,1.5479,1.82103,1.79041,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
