epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,883.819,1.71145,2.71248,1.94122,0.5148,0.46966,0.47354,0.2143,1.45495,10.2935,1.49872,0.0700773,0.00332474,0.00332474
2,1270.97,1.72134,2.15998,1.92687,0.43933,0.42677,0.35407,0.17769,1.42065,4.3058,1.50243,0.0400444,0.00662512,0.00662512
3,1712.52,1.93647,2.59136,2.15281,0.31298,0.12193,0.07847,0.02936,1.90777,31.7012,2.11528,0.0099784,0.00989249,0.00989249
4,2146.75,2.0804,3.00143,2.34012,0.23505,0.18869,0.13764,0.05194,1.92541,21.5487,2.10472,0.0098515,0.0098515,0.0098515
5,2509.61,1.98543,2.8082,2.25962,0.37606,0.24157,0.19532,0.08618,1.73861,8.94561,1.88077,0.009802,0.009802,0.009802
6,2863.6,1.90225,2.64804,2.16699,0.35834,0.32983,0.30111,0.13054,1.68136,3.5906,1.82785,0.0097525,0.0097525,0.0097525
7,3213.09,1.83531,2.46117,2.11763,0.52054,0.34314,0.36169,0.16921,1.59197,4.65235,1.71627,0.009703,0.009703,0.009703
8,3574.19,1.78106,2.36349,2.06075,0.53779,0.4341,0.44679,0.22374,1.45707,2.11879,1.58305,0.0096535,0.0096535,0.0096535
9,3947.76,1.74216,2.25918,2.00947,0.59185,0.43282,0.47024,0.23189,1.44165,6.15508,1.56941,0.009604,0.009604,0.009604
10,4338.36,1.7112,2.18086,1.98459,0.59404,0.46817,0.49525,0.25444,1.37399,2.59454,1.51126,0.0095545,0.0095545,0.0095545
11,4710.25,1.68405,2.10008,1.95428,0.63419,0.47812,0.53125,0.2824,1.30647,4.26414,1.45619,0.009505,0.009505,0.009505
12,5066.82,1.66402,2.05633,1.93445,0.66882,0.50789,0.56221,0.2871,1.33971,3.073,1.45387,0.0094555,0.0094555,0.0094555
13,5426.16,1.64235,2.01843,1.91265,0.62579,0.54271,0.57761,0.31181,1.26047,2.60118,1.39411,0.009406,0.009406,0.009406
14,5786.28,1.62117,1.9688,1.89634,0.65804,0.5242,0.57538,0.31006,1.27388,3.42261,1.40047,0.0093565,0.0093565,0.0093565
15,6142.01,1.58993,1.89686,1.86538,0.66725,0.52145,0.60564,0.34206,1.22616,2.11858,1.39353,0.009307,0.009307,0.009307
16,6502.56,1.57459,1.8632,1.85081,0.67791,0.56798,0.63083,0.36026,1.19423,2.58457,1.34821,0.0092575,0.0092575,0.0092575
17,6875.45,1.56186,1.83435,1.84379,0.69751,0.56677,0.64012,0.36719,1.1786,1.87021,1.33775,0.009208,0.009208,0.009208
18,7231.38,1.5468,1.80315,1.82243,0.74089,0.56367,0.6553,0.38932,1.13367,1.59785,1.3075,0.0091585,0.0091585,0.0091585
19,7625.47,1.53414,1.7534,1.80203,0.73582,0.58931,0.67056,0.36688,1.2387,2.07345,1.35824,0.009109,0.009109,0.009109
20,7988.1,1.52449,1.74184,1.79645,0.71971,0.60321,0.67045,0.39014,1.17443,1.61259,1.32171,0.0090595,0.0090595,0.0090595
21,8336.72,1.51635,1.70852,1.79205,0.72148,0.6203,0.69425,0.41135,1.12288,1.85182,1.26771,0.00901,0.00901,0.00901
22,8741.28,1.50391,1.69836,1.77592,0.72014,0.62915,0.69268,0.42382,1.09985,1.72993,1.2528,0.0089605,0.0089605,0.0089605
23,9153.69,1.50016,1.68002,1.77507,0.73978,0.64383,0.71748,0.43837,1.06999,2.29447,1.23481,0.008911,0.008911,0.008911
24,9504.31,1.48332,1.64596,1.7552,0.75578,0.63301,0.72432,0.43333,1.09356,1.81598,1.23687,0.0088615,0.0088615,0.0088615
25,9869.38,1.46795,1.63849,1.74417,0.76508,0.63493,0.71942,0.43202,1.07066,1.99952,1.23721,0.008812,0.008812,0.008812
26,10233.1,1.45741,1.59939,1.73178,0.77101,0.65712,0.73144,0.45017,1.06545,2.21156,1.22965,0.0087625,0.0087625,0.0087625
27,10606.2,1.4477,1.58236,1.7201,0.76599,0.67093,0.75481,0.45832,1.07307,1.59425,1.21801,0.008713,0.008713,0.008713
28,10993.5,1.44564,1.56208,1.7135,0.78405,0.6609,0.75714,0.46639,1.05172,1.495,1.21279,0.0086635,0.0086635,0.0086635
29,11335.9,1.42476,1.54391,1.70397,0.80929,0.67198,0.76598,0.47684,1.06545,1.23625,1.2159,0.008614,0.008614,0.008614
30,11689.4,1.42936,1.5419,1.7005,0.77047,0.68115,0.76213,0.47147,1.06291,1.70728,1.21314,0.0085645,0.0085645,0.0085645
31,12039.8,1.40603,1.49789,1.68316,0.78875,0.68682,0.77357,0.49328,0.99586,1.27812,1.16234,0.008515,0.008515,0.008515
32,12391.4,1.40392,1.49672,1.67286,0.79782,0.68268,0.78155,0.49092,1.02592,1.37678,1.17833,0.0084655,0.0084655,0.0084655
