epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4421.35,1.33417,1.37087,1.61906,0.84177,0.73472,0.83078,0.54751,0.94035,1.31179,1.12182,0.007921,0.007921,0.007921
44,4521.31,1.31532,1.33794,1.60127,0.84872,0.75352,0.84031,0.55718,0.91923,1.2974,1.10193,0.0078715,0.0078715,0.0078715
45,4622.06,1.32428,1.33735,1.60277,0.85034,0.76597,0.84804,0.5653,0.91745,1.24975,1.10377,0.007822,0.007822,0.007822
46,4721.93,1.31715,1.31647,1.59437,0.86582,0.75936,0.84653,0.56258,0.93106,1.17038,1.10918,0.0077725,0.0077725,0.0077725
47,4822.44,1.30767,1.31787,1.58612,0.85864,0.78176,0.85318,0.57197,0.91191,1.14629,1.09367,0.007723,0.007723,0.007723
48,4923.87,1.30659,1.31604,1.5855,0.85456,0.76561,0.85158,0.57066,0.89714,1.21324,1.09133,0.0076735,0.0076735,0.0076735
49,5024.25,1.29884,1.31548,1.58202,0.86784,0.77122,0.8586,0.57345,0.90001,1.19244,1.09227,0.007624,0.007624,0.007624
50,5125.71,1.28867,1.28001,1.57009,0.86349,0.77993,0.85734,0.57596,0.91556,1.1153,1.09355,0.0075745,0.0075745,0.0075745
51,5226.65,1.28408,1.292,1.56966,0.87881,0.77851,0.85736,0.57698,0.90764,1.17092,1.09158,0.007525,0.007525,0.007525
52,5327.95,1.27853,1.27673,1.56501,0.87296,0.77418,0.85972,0.57632,0.91922,1.08896,1.09161,0.0074755,0.0074755,0.0074755
53,5428.05,1.28114,1.272,1.56709,0.85284,0.78976,0.8614,0.57878,0.91792,1.03875,1.09079,0.007426,0.007426,0.007426
54,5530.08,1.2743,1.26001,1.55911,0.86932,0.78157,0.86236,0.5827,0.8974,1.02218,1.08011,0.0073765,0.0073765,0.0073765
55,5630.92,1.26241,1.25112,1.54444,0.86837,0.77739,0.86396,0.58708,0.88396,1.0557,1.07199,0.007327,0.007327,0.007327
56,5730.99,1.25843,1.23394,1.53833,0.87604,0.7764,0.86414,0.58903,0.88537,1.12355,1.0717,0.0072775,0.0072775,0.0072775
57,5830.91,1.26574,1.24173,1.54385,0.87236,0.789,0.86761,0.59369,0.88143,1.05736,1.07163,0.007228,0.007228,0.007228
58,5931.37,1.24346,1.22153,1.53385,0.88133,0.78634,0.87123,0.59674,0.87406,1.03573,1.0642,0.0071785,0.0071785,0.0071785
59,6031.72,1.25134,1.2309,1.53872,0.8856,0.78409,0.87336,0.596,0.8755,1.10679,1.05991,0.007129,0.007129,0.007129
60,6131.12,1.2434,1.21273,1.52335,0.8861,0.79014,0.87564,0.60022,0.87652,1.10499,1.05919,0.0070795,0.0070795,0.0070795
61,6231.43,1.23467,1.20269,1.52373,0.88425,0.79203,0.87835,0.60179,0.879,1.09778,1.06127,0.00703,0.00703,0.00703
62,6332.34,1.23809,1.2009,1.52333,0.8796,0.79776,0.88208,0.60548,0.87379,1.08825,1.05725,0.0069805,0.0069805,0.0069805
