epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.775,1.72121,3.10716,1.9086,0.75069,0.66861,0.73634,0.39814,1.19148,3.17046,1.23017,0.08208,0.00199111,0.00199111
2,760.101,1.55278,1.86645,1.71004,0.64256,0.60958,0.61212,0.3083,1.27419,12.8636,1.31334,0.0640798,0.00399087,0.00399087
3,995.406,1.61726,1.97055,1.77122,0.60898,0.58692,0.60617,0.31366,1.25507,9.94894,1.36435,0.0460785,0.00598965,0.00598965
4,1223.4,1.75638,2.27948,1.92245,0.51162,0.34322,0.3416,0.13874,1.65189,4.35842,1.81203,0.0280756,0.00798672,0.00798672
5,1436.47,1.89532,2.68172,2.09689,0.19873,0.28975,0.16723,0.06037,1.77323,99.3488,2.09273,0.0100702,0.00998135,0.00998135
6,1657.26,1.95469,2.8562,2.17793,0.45888,0.29651,0.27997,0.11121,1.71025,10.2787,1.93744,0.00998474,0.00998474,0.00998474
7,1892.84,1.87439,2.68264,2.11937,0.48845,0.34661,0.34276,0.1398,1.57977,22.2941,1.76249,0.00997803,0.00997803,0.00997803
8,2124.19,1.79483,2.48315,2.04568,0.58213,0.48091,0.48837,0.22209,1.42893,7.66065,1.60998,0.00997011,0.00997011,0.00997011
9,2357.41,1.74457,2.36521,1.97977,0.61739,0.49388,0.51947,0.23718,1.47832,4.437,1.63877,0.00996097,0.00996097,0.00996097
10,2592.81,1.70461,2.2711,1.95092,0.6734,0.54383,0.55501,0.26726,1.38973,7.1817,1.5212,0.00995062,0.00995062,0.00995062
11,2825.99,1.6861,2.17857,1.92683,0.68751,0.57103,0.62263,0.33166,1.27262,2.19179,1.44623,0.00993906,0.00993906,0.00993906
12,3057.22,1.66079,2.1484,1.90514,0.738,0.57264,0.65263,0.33692,1.29526,4.15395,1.43736,0.00992629,0.00992629,0.00992629
13,3290.37,1.63112,2.03325,1.87374,0.76206,0.59609,0.68304,0.36423,1.23108,2.614,1.41058,0.00991232,0.00991232,0.00991232
14,3522.03,1.60572,2.0148,1.85156,0.72041,0.63407,0.6531,0.34397,1.23511,2.51279,1.37565,0.00989715,0.00989715,0.00989715
15,3758.97,1.5944,1.9783,1.82806,0.76611,0.65392,0.72446,0.41485,1.14146,1.49451,1.31461,0.00988079,0.00988079,0.00988079
16,3991.51,1.59683,1.93852,1.83136,0.77351,0.65457,0.71785,0.40627,1.15024,1.75631,1.30251,0.00986323,0.00986323,0.00986323
17,4229.1,1.55966,1.87773,1.79918,0.82469,0.66135,0.75554,0.41539,1.17642,1.52612,1.33261,0.00984449,0.00984449,0.00984449
18,4467.44,1.55495,1.87095,1.80341,0.80297,0.6931,0.77478,0.43528,1.13586,1.33406,1.3136,0.00982456,0.00982456,0.00982456
19,4702.37,1.53629,1.82974,1.77679,0.79236,0.69452,0.77017,0.45002,1.09439,1.91468,1.266,0.00980345,0.00980345,0.00980345
20,4941.88,1.50449,1.76172,1.74561,0.79872,0.68297,0.77116,0.4334,1.12015,1.67944,1.27469,0.00978118,0.00978118,0.00978118
21,5182.29,1.50551,1.75853,1.74405,0.79486,0.71074,0.78075,0.46679,1.06874,1.27988,1.24223,0.00975773,0.00975773,0.00975773
22,5418.67,1.50133,1.7488,1.74244,0.80201,0.70366,0.77371,0.46052,1.08678,1.96432,1.25812,0.00973312,0.00973312,0.00973312
23,5653.83,1.50103,1.72705,1.73945,0.81448,0.73817,0.80163,0.47937,1.0543,1.78305,1.22047,0.00970736,0.00970736,0.00970736
24,5893.31,1.47978,1.66955,1.71908,0.82422,0.72295,0.79871,0.48519,1.02721,2.47682,1.21166,0.00968045,0.00968045,0.00968045
25,6130.17,1.45665,1.6609,1.70666,0.82588,0.76972,0.8331,0.50056,0.99509,1.76688,1.18536,0.00965239,0.00965239,0.00965239
26,6368.97,1.46939,1.6526,1.71557,0.84914,0.76378,0.83784,0.52253,0.98578,1.21007,1.18383,0.0096232,0.0096232,0.0096232
27,6608.28,1.44809,1.61961,1.6993,0.8328,0.74386,0.82864,0.50809,0.98807,1.20969,1.1779,0.00959289,0.00959289,0.00959289
28,6843.44,1.45628,1.62545,1.70604,0.83538,0.76465,0.83751,0.51344,0.99683,1.37503,1.18278,0.00956145,0.00956145,0.00956145
29,7076.83,1.42997,1.60177,1.68154,0.8457,0.78649,0.85564,0.53426,0.9763,1.4484,1.16448,0.00952889,0.00952889,0.00952889
30,7316.39,1.43345,1.60002,1.67737,0.85104,0.77892,0.85213,0.54051,0.95835,1.17786,1.14844,0.00949524,0.00949524,0.00949524
31,7551.86,1.44077,1.57072,1.68534,0.84491,0.79217,0.85658,0.54448,0.95629,1.13483,1.14144,0.00946048,0.00946048,0.00946048
32,7786.06,1.41112,1.52269,1.66065,0.86151,0.79247,0.86573,0.5577,0.94171,1.0898,1.1354,0.00942464,0.00942464,0.00942464
33,8024.12,1.41795,1.55216,1.66564,0.85077,0.78205,0.86067,0.54858,0.97124,1.24982,1.15116,0.00938772,0.00938772,0.00938772
34,8259.76,1.4099,1.53131,1.65542,0.87373,0.77836,0.86327,0.55843,0.93156,1.22397,1.12856,0.00934973,0.00934973,0.00934973
35,8501.29,1.41017,1.49848,1.65325,0.87964,0.80428,0.8768,0.56578,0.93666,1.18593,1.13179,0.00931067,0.00931067,0.00931067
36,8739.16,1.39646,1.50797,1.64184,0.85382,0.80937,0.86845,0.56012,0.93209,0.97068,1.12176,0.00927057,0.00927057,0.00927057
37,8981.61,1.40798,1.50056,1.64716,0.88243,0.81206,0.88541,0.58256,0.89835,1.03306,1.10236,0.00922942,0.00922942,0.00922942
38,9215.33,1.38692,1.49437,1.6352,0.87945,0.83086,0.88834,0.57956,0.89856,1.14759,1.09986,0.00918725,0.00918725,0.00918725
39,9450.37,1.37981,1.45356,1.62749,0.87512,0.81993,0.88141,0.58271,0.90706,0.9254,1.10744,0.00914405,0.00914405,0.00914405
40,9688.48,1.36575,1.44909,1.61898,0.88547,0.80448,0.8748,0.58307,0.88938,1.16709,1.09054,0.00909984,0.00909984,0.00909984
